"Time (EpSec)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
0.000,0.040,115.264,407.087694,0.051149,0.035872,0.002600
60.000,3.108,117.418,407.298861,0.051098,0.035987,0.004434
120.000,6.170,119.587,407.618744,0.050953,0.036330,0.006218
180.000,9.220,121.783,408.043321,0.050711,0.036909,0.007918
240.000,12.253,124.021,408.566470,0.050367,0.037731,0.009498
300.000,15.262,126.315,409.180072,0.049915,0.038808,0.010928
360.000,18.241,128.683,409.874161,0.049345,0.040158,0.012176
420.000,21.181,131.140,410.637105,0.048646,0.041799,0.013219
480.000,24.075,133.705,411.455819,0.047804,0.043755,0.014032
540.000,26.914,136.398,412.316004,0.046801,0.046050,0.014598
600.000,29.688,139.239,413.202409,0.045616,0.048712,0.014904
660.000,32.384,142.251,414.099115,0.044223,0.051765,0.014941
720.000,34.990,145.459,414.989823,0.042594,0.055231,0.014704
780.000,37.490,148.887,415.858156,0.040694,0.059124,0.014195
840.000,39.867,152.562,416.687956,0.038487,0.063439,0.013421
900.000,42.102,156.508,417.463582,0.035932,0.068146,0.012392
960.000,44.171,160.746,418.170193,0.032992,0.073179,0.011124
1020.000,46.052,165.293,418.794022,0.029631,0.078419,0.009636
1080.000,47.718,170.157,419.322626,0.025825,0.083682,0.007954
1140.000,49.142,175.331,419.745112,0.021569,0.088722,0.006104
1200.000,50.298,-179.207,420.052342,0.016883,0.093230,0.004117
1260.000,51.161,-173.499,420.237097,0.011820,0.096870,0.002027
1320.000,51.710,-167.606,420.294219,0.006470,0.099325,-0.000131
1380.000,51.934,-161.609,420.220704,0.000952,0.100355,-0.002321
1440.000,51.824,-155.595,420.015773,-0.004591,0.099855,-0.004506
1500.000,51.385,-149.656,419.680888,-0.010016,0.097877,-0.006647
1560.000,50.627,-143.875,419.219740,-0.015192,0.094618,-0.008708
1620.000,49.569,-138.321,418.638198,-0.020020,0.090375,-0.010654
1680.000,48.233,-133.043,417.944212,-0.024432,0.085484,-0.012451
1740.000,46.646,-128.070,417.147687,-0.028398,0.080268,-0.014067
1800.000,44.834,-123.412,416.260322,-0.031916,0.074998,-0.015475
1860.000,42.825,-119.067,415.295407,-0.035003,0.069878,-0.016648
1920.000,40.642,-115.021,414.267606,-0.037691,0.065049,-0.017568
1980.000,38.309,-111.253,413.192705,-0.040018,0.060593,-0.018216
2040.000,35.846,-107.741,412.087335,-0.042025,0.056554,-0.018582
2100.000,33.272,-104.458,410.968694,-0.043747,0.052942,-0.018658
2160.000,30.601,-101.380,409.854240,-0.045222,0.049749,-0.018442
2220.000,27.849,-98.480,408.761385,-0.046479,0.046956,-0.017939
2280.000,25.028,-95.737,407.707193,-0.047545,0.044538,-0.017155
2340.000,22.147,-93.129,406.708075,-0.048443,0.042470,-0.016106
2400.000,19.218,-90.635,405.779496,-0.049192,0.040725,-0.014807
2460.000,16.247,-88.236,404.935703,-0.049806,0.039279,-0.013283
2520.000,13.243,-85.916,404.189468,-0.050299,0.038112,-0.011560
2580.000,10.213,-83.657,403.551858,-0.050680,0.037207,-0.009668
2640.000,7.164,-81.446,403.032045,-0.050956,0.036549,-0.007639
2700.000,4.101,-79.267,402.637138,-0.051133,0.036129,-0.005510
2760.000,1.030,-77.106,402.372060,-0.051215,0.035940,-0.003318
2820.000,-2.043,-74.949,402.239467,-0.051202,0.035980,-0.001101
2880.000,-5.113,-72.784,402.239705,-0.051094,0.036248,0.001103
2940.000,-8.173,-70.595,402.370815,-0.050889,0.036749,0.003255
3000.000,-11.217,-68.369,402.628577,-0.050583,0.037492,0.005319
3060.000,-14.240,-66.091,403.006599,-0.050170,0.038486,0.007258
3120.000,-17.235,-63.745,403.496448,-0.049642,0.039748,0.009041
3180.000,-20.195,-61.315,404.087810,-0.048988,0.041296,0.010638
3240.000,-23.111,-58.783,404.768697,-0.048194,0.043152,0.012021
3300.000,-25.975,-56.130,405.525674,-0.047245,0.045341,0.013171
3360.000,-28.777,-53.335,406.344118,-0.046120,0.047888,0.014068
3420.000,-31.505,-50.376,407.208492,-0.044794,0.050821,0.014700
3480.000,-34.148,-47.229,408.102636,-0.043240,0.054163,0.015059
3540.000,-36.689,-43.868,409.010073,-0.041425,0.057930,0.015143
3600.000,-39.113,-40.268,409.914307,-0.039313,0.062124,0.014953
3660.000,-41.400,-36.405,410.799129,-0.036864,0.066726,0.014497
3720.000,-43.529,-32.254,411.648913,-0.034040,0.071681,0.013788
3780.000,-45.476,-27.798,412.448894,-0.030803,0.076887,0.012840
3840.000,-47.216,-23.026,413.185434,-0.027125,0.082181,0.011677
3900.000,-48.722,-17.939,413.846265,-0.022995,0.087335,0.010321
3960.000,-49.967,-12.554,414.420702,-0.018423,0.092055,0.008802
4020.000,-50.925,-6.908,414.899831,-0.013452,0.096007,0.007150
4080.000,-51.575,-1.056,415.276656,-0.008162,0.098860,0.005397
4140.000,-51.900,4.928,415.546222,-0.002666,0.100344,0.003580
4200.000,-51.893,10.955,415.705688,0.002900,0.100306,0.001733
4260.000,-51.554,16.934,415.754372,0.008388,0.098752,-0.000107
4320.000,-50.891,22.778,415.693750,0.013664,0.095838,-0.001904
4380.000,-49.921,28.413,415.527420,0.018615,0.091840,-0.003624
4440.000,-48.665,33.784,415.261025,0.023164,0.087091,-0.005234
4500.000,-47.150,38.856,414.902138,0.027269,0.081923,-0.006703
4560.000,-45.402,43.612,414.460120,0.030922,0.076627,-0.008001
4620.000,-43.448,48.053,413.945930,0.034135,0.071428,-0.009104
4680.000,-41.314,52.189,413.371922,0.036937,0.066487,-0.009992
4740.000,-39.023,56.038,412.751606,0.039365,0.061902,-0.010646
4800.000,-36.597,59.625,412.099385,0.041459,0.057726,-0.011053
4860.000,-34.054,62.974,411.430289,0.043257,0.053977,-0.011207
4920.000,-31.411,66.111,410.759676,0.044797,0.050654,-0.011104
4980.000,-28.683,69.061,410.102944,0.046109,0.047738,-0.010745
5040.000,-25.882,71.847,409.475230,0.047223,0.045205,-0.010138
5100.000,-23.020,74.492,408.891117,0.048163,0.043031,-0.009294
5160.000,-20.105,77.017,408.364352,0.048947,0.041187,-0.008230
5220.000,-17.149,79.441,407.907573,0.049594,0.039650,-0.006965
5280.000,-14.157,81.781,407.532062,0.050115,0.038398,-0.005525
5340.000,-11.137,84.054,407.247519,0.050523,0.037412,-0.003938
5400.000,-8.096,86.276,407.061870,0.050824,0.036677,-0.002234
5460.000,-5.040,88.460,406.981102,0.051026,0.036183,-0.000447
5520.000,-1.975,90.622,407.009143,0.051131,0.035920,0.001387
5580.000,1.094,92.775,407.147773,0.051142,0.035885,0.003233
5640.000,4.160,94.933,407.396582,0.051059,0.036079,0.005054
5700.000,7.219,97.109,407.752968,0.050881,0.036502,0.006813
5760.000,10.264,99.318,408.212180,0.050605,0.037163,0.008475
5820.000,13.289,101.574,408.767393,0.050224,0.038071,0.010007
5880.000,16.289,103.892,409.409838,0.049733,0.039240,0.011378
5940.000,19.255,106.288,410.128955,0.049120,0.040688,0.012559
6000.000,22.180,108.780,410.912587,0.048374,0.042434,0.013525
6060.000,25.057,111.387,411.747204,0.047479,0.044503,0.014255
6120.000,27.875,114.127,412.618148,0.046416,0.046921,0.014733
6180.000,30.623,117.025,413.509910,0.045163,0.049714,0.014947
6240.000,33.290,120.101,414.406404,0.043692,0.052907,0.014890
6300.000,35.861,123.382,415.291272,0.041974,0.056519,0.014560
6360.000,38.321,126.892,416.148178,0.039973,0.060558,0.013959
6420.000,40.651,130.657,416.961108,0.037651,0.065013,0.013096
6480.000,42.832,134.701,417.714665,0.034968,0.069842,0.011982
6540.000,44.840,139.044,418.394347,0.031887,0.074962,0.010636
6600.000,46.650,143.700,418.986814,0.028375,0.080234,0.009079
6660.000,48.236,148.671,419.480130,0.024414,0.085452,0.007336
6720.000,49.570,153.948,419.863984,0.020007,0.090346,0.005436
6780.000,50.628,159.500,420.129880,0.015184,0.094595,0.003410
6840.000,51.385,165.279,420.271292,0.010010,0.097861,0.001292
6900.000,51.824,171.218,420.283793,0.004587,0.099848,-0.000881
6960.000,51.933,177.231,420.165137,-0.000955,0.100357,-0.003074
7020.000,51.710,-176.770,419.915314,-0.006474,0.099335,-0.005247
7080.000,51.160,-170.877,419.536555,-0.011826,0.096889,-0.007365
7140.000,50.297,-165.168,419.033306,-0.016893,0.093255,-0.009391
7200.000,49.140,-159.704,418.412163,-0.021584,0.088752,-0.011290
7260.000,47.715,-154.528,417.681764,-0.025845,0.083715,-0.013028
7320.000,46.048,-149.662,416.852650,-0.029656,0.078453,-0.014575
7380.000,44.165,-145.113,415.937089,-0.033023,0.073215,-0.015905
7440.000,42.094,-140.872,414.948870,-0.035969,0.068182,-0.016994
7500.000,39.857,-136.925,413.903071,-0.038529,0.063474,-0.017822
7560.000,37.477,-133.248,412.815800,-0.040741,0.059159,-0.018374
7620.000,34.974,-129.817,411.703917,-0.042646,0.055266,-0.018641
7680.000,32.365,-126.607,410.584741,-0.044280,0.051799,-0.018617
7740.000,29.665,-123.593,409.475750,-0.045677,0.048746,-0.018302
7800.000,26.888,-120.750,408.394271,-0.046865,0.046085,-0.017701
7860.000,24.045,-118.055,407.357179,-0.047871,0.043790,-0.016824
7920.000,21.147,-115.488,406.380590,-0.048716,0.041836,-0.015687
7980.000,18.202,-113.029,405.479582,-0.049417,0.040196,-0.014308
8040.000,15.219,-110.659,404.667923,-0.049988,0.038848,-0.012713
8100.000,12.206,-108.362,403.957823,-0.050442,0.037773,-0.010928
8160.000,9.168,-106.121,403.359722,-0.050786,0.036954,-0.008985
8220.000,6.113,-103.922,402.882097,-0.051028,0.036378,-0.006918
8280.000,3.047,-101.751,402.531319,-0.051172,0.036038,-0.004763
8340.000,-0.025,-99.593,402.311540,-0.051221,0.035928,-0.002558
8400.000,-3.098,-97.435,402.224626,-0.051175,0.036046,-0.000341
8460.000,-6.164,-95.263,402.270130,-0.051034,0.036394,0.001850
8520.000,-9.220,-93.063,402.445307,-0.050795,0.036977,0.003976
8580.000,-12.258,-90.821,402.745182,-0.050453,0.037804,0.006000
8640.000,-15.272,-88.521,403.162645,-0.050002,0.038889,0.007890
8700.000,-18.256,-86.149,403.688595,-0.049432,0.040246,0.009612
8760.000,-21.201,-83.686,404.312121,-0.048732,0.041898,0.011138
8820.000,-24.101,-81.115,405.020710,-0.047887,0.043865,0.012443
8880.000,-26.944,-78.415,405.800490,-0.046880,0.046173,0.013508
